Ε01Α ;Μεταμόσχευση ήπατος ;      28907   ;26 
Δ08Χ ;Άλλες επεμβάσεις για δερματικό μόσχευμα και/ ή χειρουργικός καθαρισμός χωρίς συνυπάρχουσες παθήσεις – επιπλοκές ;           791   ;2 
Δ09Α ;Περιοδικές επεμβάσεις και επεμβάσεις τριχοφωλεακού συριγγίου ;           688   ;2 
Δ10Α ;Χειρουργικές επεμβάσεις πλαστικής δέρματος, υποδορίου ιστού και μαστού ;           672   ;1 
Δ11Α ;Άλλες χειρουργικές επεμβάσεις πλαστικής δέρματος, υποδορίου ιστού και μαστού ;           404   ;1 
Δ12Μ ;Επεμβάσεις στα κάτω άκρα με έλκος/ κυτταρίτιδα, με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        4871   ;23 
Δ12Χα ;Επεμβάσεις στα κάτω άκρα με έλκος/ κυτταρίτιδα, χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές με επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού ;        3097   ;13 
Δ12Χβ ;Επεμβάσεις στα κάτω άκρα με έλκος/ κυτταρίτιδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές χωρίς επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού ;        1774   ;8 
Δ13Μ ;Επεμβάσεις στα κάτω άκρα χωρίς έλκος/ κυτταρίτιδα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ή με επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού ;        2856   ;12 
Δ13Χ ;Επεμβάσεις στα κάτω άκρα χωρίς έλκος/ κυτταρίτιδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές, χωρίς επιδιόρθωση με δερματικό μόσχευμα ή μεταφορά δερματικού κρημνού ;           915   ;4 
Δ14Α ;Εκτεταμένη πλαστική αποκατάσταση στήθους ;        4198   ;8 
Δ20Μ ;Δερματικά έλκη με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        2669   ;16 
Δ20Χ ;Δερματικά έλκη χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        1471   ;9 
Δ20Α ;Δερματικά έλκη, την ίδια ημέρα ;           171   ;1 
Δ22Μ ;κακοήθεις παθήσεις του μαστου με συνυπάρχουσες παθήσεις - επιπλοκές ;           965   ;5 
Δ22Χ ;κακοήθεις παθήσεις του μαστου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές ;           688   ;2 
Δ23Μ ;μη-κακοήθεις παθήσεις του μαστου με συνυπάρχουσες παθήσεις - επιπλοκές ;           965   ;5 
Δ23Χ ;μη-κακοήθεις παθήσεις του μαστου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές ;           366   ;2 
Δ24Μ ;Κυτταρίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1619   ;9 
Δ24Χ ;Κυτταρίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           802   ;4 
Δ25Μ ;Τραύμα στο δέρμα , υποδορίου και του μαστού με καταστ η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές  ;        1105   ;6 
Δ25Χ ;Τραύμα στο δέρμα , υποδορίου και του μαστού χωρίς καταστ η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές  ;           350   ;2 
Δ27Μ ;Ελάσσονες παθήσεις του δέρματος ;           708   ;3 
Δ27Χ ;Ελάσσονες παθήσεις του δέρματος την ίδια ημέρα ;           199   ;1 
Δ28Μ ;Μείζονες παθήσεις με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές  ;        1969   ;10 
Δ28Χ ;Μείζονες παθήσεις χωρίς καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές  ;           965   ;4 
Δ28Α ;Μείζονες (μεγάλης βαρύτητας) παθήσεις την ίδια ημέρα ;           382   ;1 
Δ29Μ ;Κακοήθειες του δέρματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές  ;        2171   ;11 
Δ29Χ ;Κακοήθειες του δέρματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές  ;        1377   ;7 
Δ29Α ;Κακοήθειες του δέρματος την ίδια ημέρα ;           161   ;1 
Θ01Μ ;Διαβητικες επιπλοκές με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        6202   ;27 
Θ01Χ ;Διαβητικες επιπλοκες χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        2801   ;12 
Θ02Μ ;Επεμβάσεις υποφύσεως με συνυπάρχουσες παθήσεις - επιπλοκές  ;        5135   ;10 
Θ02Χ ;Επεμβάσεις υποφύσεως χωρίς συνυπάρχουσες παθήσεις - επιπλοκές  ;        3515   ;6 
Θ03Α ;Επεμβάσεις επινεφριδίου ;        3297   ;6 
Θ04Μ ;Μείζονες ( εξαιρετικά βαριές ) Επεμβασεις για την Παχυσαρκια με συνυπάρχουσες παθήσεις - επιπλοκές ;        4378   ;8 
Θ04Χ ;Μείζονες ( εξαιρετικά βαριές ) Επεμβασεις για την Παχυσαρκια χωρίς συνυπάρχουσες παθήσεις - επιπλοκές ;        2848   ;2 
Θ05Μ ;Επεμβάσεις παραθυρεοειδών με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        2587   ;8 
Θ05Χ ;Επεμβάσεις παραθυρεοειδών χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1218   ;2 
Θ06Μ ;Επεμβάσεις του θυρεοειδούς με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        2620   ;5 
Θ06Χ ;Επεμβάσεις του θυρεοειδούς χωρίς καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1581   ;2 
Θ07Α ;Επεμβάσεις για την παχυσαρκία ;        1276   ;3 
Θ08Α ;Επεμβάσεις θυρεογλωσσικές  ;           952   ;1 
Θ09Μ ;Λοιπές χειρουργικές επεμβάσεις για  ενδοκρινολογικές, διατροφικές και μεταβολικές διαταραχές με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        4895   ;19 
Θ09Χα ;Λοιπές χειρουργικές επεμβάσεις για  ενδοκρινολογικές, διατροφικές και μεταβολικές διαταραχές χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        2080   ;7 
Θ09Χβ ;Άλλες Ενδοκρινολογικές, θρεπτικών και μεταβολικές επεμβάσεις χωρίς σοβαρές και μετριοπαθή  συνυπάρχουσες παθήσεις - επιπλοκές ;        1765   ;3 
Θ20Μ ;Ενδοσκοπικές ή διερευνητικές επεμβάσεις για μεταβολικές δυσλειτουργίες με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        4296   ;18 
Θ20Χ ;Ενδοσκοπικές ή διερευνητικές επεμβάσεις για μεταβολικές δυσλειτουργίες χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        1580   ;7 
Θ20Α ;Ενδοσκοπικές ή διερευνητικές επεμβάσεις για μεταβολικές δυσλειτουργίες την ίδια ημέρα  ;           297   ;1 
Θ20Μ ;Διαβήτης με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1735   ;8 
Θ20Χ ;Διαβήτης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           731   ;3 
Θ21Α ;Σοβαρές διατροφικές διαταραχές  ;        2599   ;12 
Θ22Μ ;Διάφορες δυσλειτουργίες του μεταβολισμού με καταστροφικές  ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1393   ;7 
Θ22Χ ;Διάφορες δυσλειτουργίες του μεταβολισμού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           482   ;2 
Θ23Μ ;Συγγενή ασθένειες του μεταβολισμού με συνυπάρχουσες παθήσεις - επιπλοκές ;        1074   ;4 
Θ23Χ ;Συγγενή ασθένειες του μεταβολισμού χωρίς συνυπάρχουσες παθήσεις - επιπλοκές ;           405   ;2 
Θ24Μ ;Ενδοκρινολογικές δυσλειτουργίες με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1829   ;9 
Θ24Χ ;Ενδοκρινολογικές δυσλειτουργίες χωρίς καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           669   ;2 
Υ02Μ ;Επέμβαση τοποθέτησης εισαγωγής καθετήρα περιτοναϊκής κάθαρσης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        3111   ;10 
Υ02Χ ;Επέμβαση τοποθέτησης εισαγωγής καθετήρα περιτοναϊκής κάθαρσης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        1189   ;2 
Υ03Μα ;Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για νεοπλασία με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές ;        6431   ;15 
Υ03Μβ ;Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για νεοπλασία με σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        4426   ;9 
Υ03Χ ;Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για νεοπλασία χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        2992   ;5 
Υ04Μ ;Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για μη-νεοπλασία με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές ;        4355   ;15 
Υ04Χα ;Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για μη-νεοπλασία με σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        2361   ;7 
Υ04Χβ ;Επεμβάσεις νεφρού, ουρητήρα και μεγάλες επεμβάσεις ουροδόχου κύστης για μη-νεοπλασία χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        1605   ;3 
Υ05Μ ;Διουρηθρική προστατεκτομή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        2848   ;11 
Υ05Χ ;Διουρηθρική προστατεκτομή χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        1000   ;3 
Υ06Μ ;Μικρές επεμβάσεις Ουροδοχου κυστεως με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        2381   ;9 
Υ06Χ ;Μικρές επεμβάσεις Ουροδοχου κυστεως χωρίς  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;           808   ;2 
Υ07Μ ;Διουρηθρικές επεμβάσεις εκτός προστατεκτομικές με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές  ;        1218   ;5 
Υ07Χ ;Διουρηθρικές επεμβάσεις εκτός προστατεκτομικές χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές  ;           680   ;1 
Υ08Μ ;Επεμβάσεις ουρήθρας με  συνυπάρχουσες παθήσεις – επιπλοκές ;        1271   ;5 
Υ08Χ ;Επεμβάσεις ουρήθρας χωρίς συνυπάρχουσες παθήσεις – επιπλοκές ;           631   ;2 
Υ09Μ ;Άλλες επεμβάσεις για δυσλειτουργία νεφρού και ουροποιητικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        4729   ;17 
Υ09Χα ;Άλλες επεμβάσεις για δυσλειτουργία νεφρού και ουροποιητικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        1919   ;4 
Υ09Χβ ;Άλλες επεμβάσεις στα νεφρά και το ουροποιητικό σύστημα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        1035   ;2 
Υ20Α ;Ουρηθροσκόπηση  ;           767   ;2 
Υ21Α ;Ουρηθροσκόπηση σε μία ημέρα ;           231   ;1 
Υ22Α ;Εξωσωματική λιθοτριψία για λίθους του ουροποιητικού ;           482   ;1 
Υ20Μα ;Νεφρική ανεπάρκεια με  καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές ;        2934   ;12 
Υ20Μβ ;Νεφρική ανεπάρκεια με  σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        1300   ;6 
Υ20Χ ;Νεφρική ανεπάρκεια χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;           584   ;3 
Υ21Α ;Αιμοκάθαρση ;           136   ;1 
Υ22Μ ;Νεοπλάσματα νεφρού και ουροποιητικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        1471   ;7 
Υ22Χ ;Νεοπλάσματα νεφρού και ουροποιητικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;           545   ;2 
Υ23Μ ;Λοιμώξεις νεφρού και ουροποιητικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        1564   ;8 
Υ23Χ ;Λοιμώξεις νεφρού και ουροποιητικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;           560   ;3 
Υ24Α ;Λιθίαση ουροποιητικού και απόφραξη ;           389   ;2 
Υ25Μ ;Συμπτώματα και σημεία των νεφρών και του ουροποιητικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1128   ;6 
Υ25Χ ;Συμπτώματα και σημεία των νεφρών και του ουροποιητικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           405   ;2 
Υ26Α ;Στενώματα ουρήθρας ;           440   ;2 
Υ27Μ ;Λοιπές διαγνώσεις των νεφρών και του ουροποιητικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1673   ;7 
Υ27Χ ;Λοιπές διαγνώσεις των νεφρών και του ουροποιητικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           358   ;2 
Υ28Α ;Περιτοναϊκή κάθαρση ;           296   ;1 
Β01Μ ;Μείζονες ανδρικές πυελικές επεμβάσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        3553   ;8 
Β01Χ ;Μείζονες ανδρικές πυελικές επεμβάσεις χωρίς  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        2892   ;4 
Β02Μ ;Διουρηθρική προστατεκτομή με καταστροφικές ή σοβαρές συνυπάρχουσες επιπλοκές ;        1719   ;7 
Β02Χ ;Διουρηθρική προστατεκτομή χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες επιπλοκές ;        1007   ;3 
Β03Α ;Επεμβάσεις Πέους ;           771   ;2 
Β04Α ;Επεμβάσεις όρχεων ;           652   ;1 
Β05Α ;Περιτομή ;           458   ;1 
Β06Μ ;Λοιπές χειρουργικές επεμβάσεις αντρικού αναπαραγωγικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        1930   ;6 
Β06Χ ;Λοιπές χειρουργικές επεμβάσεις αντρικού αναπαραγωγικού συστήματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        1659   ;2 
Β10Α ;Κυστεοσκόπηση, την ίδια ημέρα ;           220   ;1 
Β20Μ ;Κακοήθεια του αντρικού αναπαραγωγικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1323   ;7 
Β20Χ ;Κακοήθεια του αντρικού αναπαραγωγικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           413   ;2 
Β21Α ;Καλοήθης υπερτροφία προστάτη ;           459   ;2 
Β22Α ;Φλεγμονή του αντρικού αναπαραγωγικού συστήματος ;           545   ;3 
Β23Α ;Αντρική στείρωση ;           316   ;1 
Β24Α ;Άλλη διάγνωση αντρικού αναπαραγωγικού συστήματος ;           296   ;1 
Γ01Α ;Πυελική εξπλάχνιση και ριζική βουλβεκτομή ;        2964   ;8 
Γ04Μ ;Υστερεκτομή για μη κακοήθεια με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        2062   ;5 
Γ04Χ ;Υστερεκτομή για μη κακοήθεια χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1525   ;3 
Γ05Μ ;Χειρουργική αφαίρεση ωοθηκών και σαλπίγγων για μη κακοήθεια με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        2147   ;6 
Γ05Χ ;Χειρουργική αφαίρεση ωοθηκών και σαλπίγγων για μη κακοήθεια χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1374   ;2 
Γ06Μ ;Επανορθωτική επέμβαση γυναικείου αναπαραγωγικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1649   ;4 
Γ06Χ ;Επανορθωτική επέμβαση γυναικείου αναπαραγωγικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1264   ;2 
Γ07Α ;Λοιπές επεμβάσεις μήτρας και εξαρτημάτων για μη κακοήθεια ;           742   ;1 
Γ08Α ;Ενδοσκοπικές και λαπαροσκοπικές Επεμβάσεις στο γυναικείο αναπαραγωγικό σύστημα ;           719   ;1 
Γ09Α ;Επεμβάσεις αΐδιου, τραχήλου και κόλπου ;           418   ;2 
Γ10Α ;Διαγνωστική υστεροσκόπηση απόξεση ;           425   ;1 
Γ11Α ;Άλλες επεμβάσεις στο γυναικείο αναπαραγωγικό σύστημα ;           729   ;3 
Γ12Μ ;Επέμβαση για κακοήθεια μήτρας και δευτερευόντων οργάνων με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        3576   ;9 
Γ12Χ ;Επέμβαση για κακοήθεια μήτρας και δευτερευόντων οργάνων χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        1963   ;4 
Γ20Μ ;Κακοήθεια γυναικείου αναπαραγωγικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        1969   ;9 
Γ20Χ ;Κακοήθεια γυναικείου αναπαραγωγικού συστήματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;           755   ;3 
Γ21Α ;Λοιμώξεις του γυναικείου αναπαραγωγικού συστήματος ;           475   ;2 
Γ22Α ;Διαταραχές εμμήνου ρύσεως και άλλες διαταραχές του γυναικείου αναπαραγωγικού συστήματος ;           257   ;1 
Λ01Μ ;Τοκετός με καισαρική τομή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        2171   ;7 
Λ01Χ ;Τοκετός με καισαρική τομή χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1541   ;4 
Λ02Μ ;Κολπικός τοκετός με παρέμβαση στο χειρουργείο με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1743   ;4 
Λ02Χ ;Κολπικός τοκετός με επέμβαση στο χειρουργείο χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές  ;        1175   ;3 
Λ03Μ ;Έκτοπη κύηση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        1249   ;3 
Λ03Χ ;Έκτοπη κύηση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;           886   ;2 
Λ04Μ ;Επέμβαση στο χειρουργείο μετά τον τοκετό ή μετά την άμβλωση  με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1807   ;5 
Λ04Χ ;Επέμβαση σο χειρουργείο μετά τον τοκετό ή μετά την άμβλωση  χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           571   ;2 
Λ05Α ;Άμβλωση με χειρουργική επέμβαση  ;           334   ;1 
Λ20Α ;Κολπικός τοκετός ;           872   ;3 
Λ21Α ;Μετά τοκετός άμβλωση χωρίς χειρουργική επέμβαση ;           420   ;2 
Λ23Α ;Άμβλωση χωρίς επέμβαση στο χειρουργείο  ;           265   ;1 
Λ24Α ;Αποβολή ;           288   ;2 
Λ26Α ;Προγεννητική και άλλη μαιευτική εισαγωγή ;           257   ;2 
Τ01Α ;Νεογνά που κατέληξαν ή διακομίστηκαν σε <5 ημέρες από την εισαγωγή με σημαντικές χειρουργικές επεμβάσεις ;        1381   ;1 
