Ε01Α ;Μεταμόσχευση ήπατος ;      28907   ;26 
Τ02Α ;Καρδιοθωρακική / αγγειοχειρουργική επέμβαση σε νεογνά ;      20279   ;23 
Τ03Α ;Σημαντική χειρουργική επέμβαση σε νεογνά με βάρος εισαγωγής 1000-1499 gr ;      16846   ;48 
Τ04Α ;Σημαντική χειρουργική επέμβαση σε νεογνά με βάρος εισαγωγής 1500 1999 gr ;      11997   ;34 
Τ05Α ;Σημαντική χειρουργική επέμβαση σε νεογνά με βάρος εισαγωγής 2000-2499 gr ;      10357   ;27 
Τ06Μ ;Σημαντική χειρουργική επέμβαση σε νεογνά με βάρος εισαγωγής >2499  gr με πολλαπλά σοβαρά προβλήματα ;      15128   ;30 
Τ06Χ ;Σημαντική χειρουργική επέμβαση σε νεογνά με βάρος εισαγωγής >2499  gr χωρίς πολλαπλά σοβαρά προβλήματα ;        5062   ;13 
Τ20Μ ;Νεογνά που κατέληξαν ή διακομίστηκαν σε <5 ημέρες από την εισαγωγή χωρίς σημαντική χειρουργική επέμβαση, νεογέννητα ;           244   ;2 
Τ20Χ ;Νεογνά που κατέληξαν ή διακομίστηκαν σε <5 ημέρες από την εισαγωγή χωρίς σημαντική χειρουργική επέμβαση εκτός νεογέννητων ;           512   ;2 
Τ21Α ;Νεογνά με βάρος εισαγωγής <750 gr ;      41579   ;73 
Τ22Α ;Νεογνά με βάρος εισαγωγής 750-999 gr ;      30725   ;65 
Τ23Α ;Νεογνά με βάρος εισαγωγής 1000-1249 gr χωρίς σημαντική χειρουργική επέμβαση ;        7359   ;25 
Τ24Α ;Νεογνά με βάρος εισαγωγής 1250 -1499 gr χωρίς σημαντική  χειρουργική επέμβαση ;        5818   ;26 
Τ25Μα ;Νεογνά με βάρος εισαγωγής 1500 - 1999 gr χωρίς σημαντική  χειρουργική επέμβαση με πολλαπλά μείζονα προβλήματα ;        5872   ;24 
Τ25Μβ ;Νεογνά με βάρος εισαγωγής 1500 - 1999 gr χωρίς σημαντική χειρουργική επέμβαση με σημαντικά προβλήματα ;        4145   ;20 
Τ25Μγ ;Νεογνά με βάρος εισαγωγής 1500 - 1999 gr χωρίς σημαντική χειρουργική επέμβαση με άλλα προβλήματα ;        3158   ;18 
Τ25Χ ;Νεογνά με βάρος εισαγωγής 1500 - 1999 gr χωρίς σημαντική  χειρουργική επέμβαση χωρίς προβλήματα ;        2646   ;15 
Τ26Μα ;Νεογνά με βάρος εισαγωγής 2000 - 2499  gr χωρίς σημαντική χειρουργική επέμβαση με πολλαπλά προβλήματα ;        3719   ;15 
Τ26Μβ ;Νεογνά με βάρος εισαγωγής 2000 - 2499  gr χωρίς σημαντική χειρουργική επέμβαση σημαντικά προβλήματα ;        2346   ;12 
Τ26Μγ ;Νεογνά με βάρος εισαγωγής 2000 - 2499  gr χωρίς σημαντική χειρουργική επέμβαση με λοιπά προβλήματα ;        1644   ;11 
Τ26Χ ;Νεογνά με βάρος εισαγωγής 2000 - 2499  gr χωρίς σημαντική χειρουργική επέμβαση χωρίς προβλήματα ;           716   ;5 
Τ27Μα ;Νεογνά με βάρος εισαγωγής  >2499  gr χωρίς σημαντική χειρουργική επέμβαση πολλαπλά μείζονα προβλήματα ;        3076   ;12 
Τ27Μβ ;Νεογνά με βάρος εισαγωγής >2499  gr χωρίς σημαντική χειρουργική επέμβαση σημαντικά προβλήματα ;        1294   ;7 
Τ27Μγ ;Νεογνά με βάρος εισαγωγής >2499  gr χωρίς σημαντική χειρουργική επέμβαση λοιπά προβλήματα ;           918   ;5 
Τ27Χ ;Νεογνά με βάρος εισαγωγής >2499  gr χωρίς σημαντική χειρουργική επέμβαση χωρίς προβλήματα ;           428   ;3 
Ξ01Α ;Σπληνεκτομή ;        3476   ;7 
Ξ02Μ ;Λοιπές χειρουργικές επεμβάσεις αίματος και αιμοποιητικών οργάνων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        4655   ;13 
Ξ02Χ ;Λοιπές χειρουργικές επεμβάσεις αίματος και αιμοποιητικών οργάνων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           781   ;2 
Ξ20Μ ;Δυσλειτουργίες δικτυοενδοθηλιακού και ανοσοποιητικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1945   ;7 
Ξ20Χα ;Δυσλειτουργίες δικτυοενδοθηλιακού και ανοσοποιητικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές με κακοήθεια ;           786   ;3 
Ξ20Χβ ;Δυσλειτουργίες δικτυοενδοθηλιακού και ανοσοποιητικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές χωρίς κακοήθεια ;           257   ;1 
Ξ21Μ ;Δυσλειτουργίες  ερυθρόκυττάρων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές  ;        1136   ;6 
Ξ21Χ ;Δυσλειτουργίες ερυθρόκυττάρων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές  ;           315   ;1 
Ξ22Α ;Διαταραχές πήξεως αίματος ;           514   ;3 
Σ01Μ ;Λέμφωμα και λευχαιμία με μείζονες χειρουργικες΄επεμβάσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        8558   ;23 
Σ01Χ ;Λέμφωμα και λευχαιμία με μείζονες χειρουργικές Επεμβάσεις χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        2236   ;6 
Σ02Μ ;Άλλες νεοπλαστικές δυσλειτουργίες με μείζονες χειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        5777   ;18 
Σ02Χα ;Άλλες νεοπλαστικές δυσλειτουργίες με μείζονες χειρουργικές επεμβάσεις με σοβαρές ή μεσαίου μεγέθους συνυπάρχουσες παθήσεις - επιπλοκές ;        3109   ;8 
Σ02Χβ ;Άλλες νεοπλαστικές δυσλειτουργίες με μείζονες χειρουργικές επεμβάσεις χωρίς συνυπάρχουσες παθήσεις - επιπλοκές ;        2056   ;5 
Σ03Μ ;Λέμφωμα και λευχαιμία με άλλες χειρουργικές επεμβάσεις με μείζονες χειρουργικές επεμβάσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        6097   ;20 
Σ03Χ ;Λέμφωμα και λευχαιμία με άλλες χειρουργικές επεμβάσεις χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1099   ;3 
Σ04Μ ;Λοιπές νεοπλαστικές διαταραχές με χειρουργικές επεμβάσεις με συνυπάρχουσες παθήσεις - επιπλοκές ;        1694   ;7 
Σ04Χ ;Λοιπές νεοπλαστικές διαταραχές με χειρουργικές επεμβάσεις χωρίς συνυπάρχουσες παθήσεις - επιπλοκές ;           966   ;2 
Σ20Μ ;Οξεία λευχαιμία με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        7435   ;17 
Σ20Χ ;Οξεία λευχαιμία χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;           988   ;3 
Σ21Μ ;Λέμφωμα και μη-οξεία λευχαιμία με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        3782   ;14 
Σ21Χ ;Λέμφωμα και μη-οξεία λευχαιμία χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        1886   ;5 
Σ21Α ;Λέμφωμα και μη-οξεία λευχαιμία, την ίδια ημέρα ;           294   ;1 
Σ22Μ ;Λοιπές νεοπλαστικές παθήσεις με συνυπάρχουσες παθήσεις - επιπλοκές ;        1253   ;6 
Σ22Χ ;Λοιπές νεοπλαστικές παθήσεις χωρίς συνυπάρχουσες παθήσεις - επιπλοκές ;           638   ;2 
Ρ01Α ;Σύνδρομο επίκτητης ανοσολογικής ανεπάρκειας (HIV), ίδια μέρα ;           443   ;1 
Ρ05Μα ;Ασθένειες σχετιζόμενες με το HIV με καταστροφικές  συνυπάρχουσες παθήσεις - επιπλοκές ;        8110   ;20 
Ρ05Μβ ;Ασθένειες σχετιζόμενες με το HIV με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        3050   ;9 
Ρ05Χ ;Ασθένειες σχετιζόμενες με το HIV χωρίς καταστροφικές ή σοβαρές  συνυπάρχουσες παθήσεις - επιπλοκές ;        2140   ;6 
Ρ10Μα ;Επεμβάσεις για λοιμώδεις και παρασιτικές ασθένειες με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        7118   ;24 
Ρ10Μβ ;Επεμβάσεις για λοιμώδεις και παρασιτικές ασθένειες με σοβαρές ή μεσαίου μεγέθους συνυπάρχουσες παθήσεις - επιπλοκές ;        2688   ;12 
Ρ10Χ ;Επεμβάσεις για λοιμώδεις και παρασιτικές ασθένειες χωρίς συνυπάρχουσες παθήσεις - επιπλοκές ;        1473   ;7 
Ρ20Α ;Λοιμώδεις και παρασιτικές ασθενείς  με μηχανική υποστήριξη αναπνοής ;        6023   ;11 
Ρ20Μ ;Σηψαιμία με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        2514   ;11 
Ρ20Χ ;Σηψαιμία χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές ;        1261   ;6 
Ρ21Μ ;Μετεγχειρητικές και μετεπεμβατικές λοιμώξεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1556   ;8 
Ρ21Χ ;Μετεγχειρητικές και μετεπεμβατικές λοιμώξεις χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           778   ;4 
Ρ22Μ ;Εμπύρετο αγνώστου προελεύσεως με  συνυπάρχουσες παθήσεις – επιπλοκές ;        1105   ;5 
Ρ22Χ ;Εμπύρετο αγνώστου προελεύσεως χωρίς συνυπάρχουσες παθήσεις – επιπλοκές ;           444   ;2 
Ρ23Α ;Ιογενής λοιμώξεις  ;           428   ;2 
Ρ24Μα ;Λοιπές λοιμώξεις και παρασιτικά νοσήματα με  καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές ;        3773   ;14 
Ρ24Μβ ;Λοιπές λοιμώξεις και παρασιτικά νοσήματα με  μέτριου βαθμού συνυπάρχουσες παθήσεις – επιπλοκές ;        1401   ;6 
Ρ24Χ ;Λοιπές λοιμώξεις και παρασιτικά νοσήματα χωρίς συνυπάρχουσες παθήσεις – επιπλοκές ;           623   ;3 
Χ20Α ;Θεραπεία διανοητικών διαταραχών με ηλεκτροσπασμοθεραπεία, ιδια μερα  ;           148   ;1 
Χ40Α ;Θεραπεία διανοητικών διαταραχών χωρίς ηλεκτροσπασμοθεραπεία, ιδια μερα  ;           140   ;1 
Χ41Α ;Σχιζοφρένεια ;        3066   ;21 
Χ42Μ ;Παράνοια και οξεία ψυχωτική διαταραχή με  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ή με νομικό καθεστώς ψυχικής υγείας  ;        3268   ;15 
Χ42Χ ;Παράνοια και οξεία ψυχωτική διαταραχή με  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ή χωρίς νομικό καθεστώς ψυχικής υγείας ;        1331   ;8 
Χ43Α ;Μείζονες συναισθηματικές διαταραχές  ;        2568   ;14 
Χ44Α ;Άλλες συναισθηματικές διαταραχές και διαταραχές μετατροπής  ;        1152   ;7 
Χ45Α ;Αγχώδεις διαταραχές   ;           965   ;4 
Χ46Α ;Ψυχαναγκαστικές διαταραχές και διαταραχές διατροφής ;        4171   ;20 
Χ47Α ;Διαταραχή προσωπικότητας και οξείες αντιδράσεις ;        1214   ;6 
Χ48Α ;Διανοητικές δυσλειτουργίες παιδικής ηλικίας ;        3261   ;10 
Ι20Α ;Αλκοολική δηλητηρίαση και σύνδρομο στέρησης  ;           366   ;2 
Ι21Α ;Δηλητηρίαση-τοξικότητα από χρήση ναρκωτικών και σύνδρομο στέρησης  ;        1089   ;5 
Ι22Μ ;Δυσλειτουργία από χρήση αλκοόλ και εξάρτηση  ;           910   ;6 
Ι22Χ ;Δυσλειτουργία από χρήση αλκοόλ και εξάρτηση, της ίδιας μέρας ;           366   ;1 
Ι23Α ;Δυσλειτουργία από χρήση απιοειδών και εξάρτηση ;           576   ;5 
Ι24Α ;Δυσλειτουργία από χρήση άλλων ναρκωτικών και εξάρτηση ;           599   ;4 
Φ01Α ;Μηχανικός αερισμός αναπνοής ή κρανιακές επεμβάσεις για πολλαπλά μείζονα τραύματα ;      12204   ;21 
Φ02Μ ;Επεμβάσεις ισχίου, μηριαίου και άκρων για πολλαπλά μείζονα τραύματα, συμπεριλαμβανομένης εμφύτευσης  με καταστροφικές σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        9426   ;22 
Φ02Χ ;Επεμβάσεις ισχίου, μηριαίου και άκρων για πολλαπλά μείζονα τραύματα, συμπεριλαμβανομένης εμφύτευσης χωρίς καταστροφικές σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        8412   ;15 
Φ03Α ;Επεμβάσεις κοιλιακής χώρας για πολλαπλά μείζονα τραύματα ;        5386   ;13 
Φ04Μ ;Λοιπές χειρουργικές επεμβάσεις για πολλαπλό τραύμα με  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        8798   ;22 
Φ04Χ ;Λοιπές χειρουργικές επεμβάσεις για πολλαπλό τραύμα χωρίς  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        5558   ;11 
Φ10Α ;Πολυτραυματίας, νεκρός ή διακομισθής σε άλλη μονάδα θεραπείας κάτω από 5 ημέρες ;        1472   ;1 
Φ11Μ ;Πολυτραυματίας χωρίς σημαντικές επεμβάσεις με  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        3657   ;15 
Φ11Χ ;Πολυτραυματίας χωρίς σημαντικές επεμβάσεις και χωρίς  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        1883   ;7 
Φ22Μ ;Μικροχειρουργική μεταφορά ιστών ή δερματικό μόσχευμα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις- επιπλοκές για τραυματισμούς  άκρας χειρός ;        2357   ;5 
Φ22Χ ;Δερματικό μόσχευμα για τραύματα του χεριού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           827   ;2 
Φ24Μ ;Λοιπές επεμβάσεις για τραύματα κάτω άκρων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        2785   ;11 
Φ24Χ ;Λοιπές  επεμβάσεις για τραύματα κάτω άκρων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           934   ;2 
Φ25Μ ;Άλλες επεμβάσεις για τραύματα χεριών με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις ή επιπλοκές ;        1256   ;4 
Φ25Χ ;Άλλες επεμβάσεις για τραύματα χεριών χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;           700   ;1 
Φ26Μ ;Άλλες επεμβάσεις για άλλους τραυματισμούς με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές  ;        2460   ;9 
Φ26Χ ;Άλλες επεμβάσεις για άλλους τραυματισμούς χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές  ;           828   ;2 
Φ27Μ ;Δερματικό μόσχευμα για τραυματισμούς εκτός από μικροχειρουργική μεταφορά ιστών χεριού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        3631   ;17 
Φ27Χ ;Δερματικό μόσχευμα για τραυματισμούς εκτός από μικροχειρουργική μεταφορά ιστών χεριού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές ;        1479   ;6 
Φ40Α ;Τραύματα, δηλητηριάσεις και τοξικές επιδράσεις από φάρμακα με μηχανική υποστήριξη αναπνοής  ;        3649   ;7 
Φ60Μ ;Τραύματα με  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        1144   ;7 
Φ60Χ ;Τραύματα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;           288   ;2 
Φ61Α ;Αλλεργικές αντιδράσεις ;           280   ;1 
Φ62Μ ;Δηλητηριάσεις, τοξικές επιδράσεις φαρμάκων και άλλων ουσιών με  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        1183   ;4 
Φ62Χ ;Δηλητηριάσεις, τοξικές επιδράσεις φαρμάκων και άλλων ουσιών χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;           374   ;2 
Φ63Μ ;Δευτερογενείς επιπλοκές  θεραπείας με  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        1245   ;6 
Φ63Χ ;Δευτερογενείς επιπλοκές  θεραπείας χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;           506   ;3 
Φ64Μ ;Άλλες διαγνώσεις τραυματισμού, δηλητηρίασης και τοξικής επίδρασης με  καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;        1159   ;5 
Φ64Χ ;Άλλες διαγνώσεις τραυματισμού, δηλητηρίασης και τοξικής επίδρασης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές ;           303   ;1 
Ζ01Α ;Μηχανική υποστήριξη αναπνοής για εγκαυματίες και σοβαρά ολικού πάχους εγκαύματα ;      36068   ;38 
Ζ02Μ ;Λοιπά εγκαύματα και δερματικά μοσχεύματα με συνυπάρχουσες παθήσεις-επιπλοκές ;        7225   ;18 
Ζ02Χ ;Λοιπά εγκαύματα και δερματικά μοσχεύματα χωρίς συνυπάρχουσες παθήσεις-επιπλοκές ;        2979   ;6 
Ζ03Α ;Λοιπές επεμβάσεις στο χειρουργείο για εγκαύματα   ;        2312   ;5 
Ζ20Α ;Εγκαύματα που διακομίστηκαν σε άλλη μονάδα < 5 ημέρες  ;           241   ;1 
Ζ21Α ;Σοβαρά εγκαύματα ;           848   ;4 
Ζ22Μ ;Άλλα εγκαύματα με  συνυπάρχουσες παθήσεις – επιπλοκές ;        1167   ;6 
Ζ22Χ ;Άλλα εγκαύματα χωρίς  συνυπάρχουσες παθήσεις – επιπλοκές ;           397   ;2 
S01Μ ;Χειρουργικές επεμβάσεις για διαγνώσεις που σχετίζονται με άλλη χρήση υπηρεσιών υγείας με σοβαρές ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές   ;        2413   ;6 
S01Χ ;Χειρουργικές επεμβάσεις για διαγνώσεις που σχετίζονται με άλλη χρήση υπηρεσιών υγείας χωρίς σοβαρές ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές   ;        1334   ;1 
S01Α ;Ενδοσκοπήσεις για διάγνωση για άλλη χρήση υπηρεσιών υγείας, ίδια ημέρα  ;           540   ;1 
S20Μ ;Αποκατάσταση με  καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές ;        2716   ;20 
S20Χ ;Αποκατάσταση χωρίς  καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές ;        1759   ;19 
S20Α ;Αποκατάσταση, της ίδιας ημέρας  ;           934   ;1 
S21Μ ;Σημεία και συμπτώματα  ;           887   ;5 
S21Χ ;Σημεία και συμπτώματα, της ίδιας ημέρας  ;           232   ;1 
S23Μ ;Follow up για χειρουργικές και ιατρικές υπηρεσίες και φροντίδα με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές  ;        2039   ;14 
S23Χ ;Follow up για χειρουργικές και ιατρικές υπηρεσίες και φροντίδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές  ;           848   ;6 
S24Μ ;Λοιποί παράγοντες επηρεασμού της κατάστασης της υγείας  ;           770   ;4 
S24Χ ;Λοιποί παράγοντες επηρεασμού της κατάστασης της υγείας, την ίδια ημέρα  ;           216   ;1 
S25Α ;Συγγενείς ανωμαλίες και προβλήματα από την νεογνική περίοδο  ;        1082   ;4 
G01Μα ;Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές ;        5709   ;22 
G01Μβ ;Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση με σοβαρής βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές ;        3573   ;9 
G01Χ ;Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση χωρίς συνυπάρχουσες παθήσεις-επιπλοκές ;        2182   ;3 
W10Α ;Μη εφικτό να ταξινομηθούν, μικρής βαρύτητας  ;        2014   ;3 
W11Α ;Μη αποδεκτή κύρια διάγνωση, μικρής βαρύτητας  ;           991   ;2 
W13Α ;Διάγνωση για νεογνά, που δεν είναι συμβατή με την ηλικία/βάρος, μικρής βαρύτητας ;           685   ;2 
